model_id,win_rate_mean,win_rate_std,goal_diff_mean,goal_diff_std,tpca_mean,tpca_std,obmq_mean,obmq_std,pcr_mean,pcr_std,cohen_kappa_mean,cohen_kappa_std,n_seeds
M1,0.40861680225451097,0.014344052145518418,-0.016300000000000002,0.07276453653929076,0.697,0.021343747458109484,3.4954,0.06942653991410229,0.7144999999999999,0.02675921440467851,0.66335,0.03822338580270233,10
M2,0.504705232236822,0.01639541955474875,0.47400000000000003,0.07666811592833099,0.7003,0.024846417134960202,3.4924999999999997,0.07963423328638959,0.8234,0.019414771009036717,0.6627799999999999,0.03425018410331703,10
M3,0.5663806942412674,0.016433395451017914,0.7830999999999999,0.09065618811997579,0.8448,0.016936482646773048,4.2848,0.11598831358757171,0.7148,0.015251957979951998,0.65191,0.02750783524743451,10
M4,0.6363128838651204,0.015888536320997567,1.1228,0.07849387803446141,0.86,0.0198158185969358,4.3057,0.10755675504381634,0.8253999999999999,0.02107236209931017,0.65052,0.03947350166039661,10
