algorithm,backbone,win_rate_mean_std,goal_diff_mean_std,tpca_mean_std,obmq_mean_std,cohen_kappa_mean_std,convergence_steps,latency_ms,n
Control Baseline (M1),Raw Kinematics + MAPPO,40.86 ± 1.43,-0.02 ± 0.02,69.70 ± 0.82,3.495 ± 0.035,0.663 ± 0.015,Failed (>5M),3.8 ± 0.2,10
Reward-Only (M2),Raw Kinematics + PBRS,50.47 ± 1.64,+0.47 ± 0.04,70.03 ± 0.91,3.492 ± 0.040,0.663 ± 0.014,4.2M steps,3.9 ± 0.2,10
Standard QMIX,Monotonic Mixing Network,48.25 ± 2.15,+0.38 ± 0.06,71.20 ± 1.25,3.510 ± 0.045,0.668 ± 0.018,4.6M steps,6.4 ± 0.3,10
GNN-MARL,Graph Attention Network + MAPPO,58.40 ± 1.85,+0.85 ± 0.05,81.40 ± 1.10,4.120 ± 0.038,0.655 ± 0.012,3.5M steps,18.6 ± 0.8,10
Proposed M4 (Unified),Semantic Corridors + PBRS,63.63 ± 1.59,+1.12 ± 0.05,86.00 ± 0.85,4.306 ± 0.032,0.651 ± 0.011,2.4M steps,4.2 ± 0.2,10
